timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1727010000,Sep 22 2024 - 1:00pm,complete,N/A,Monaco,Le Havre,Stéphanie Frappart,5,2,1.5,2.29,1.35,3,1,4,2,1,1,"9,66,70",30,6,4,1,0,3,0,1,0,2,1,8,5,4,2,4,3,10,17,62,38,1.26,1.08,1.14,0.74,1.75,25,75,0,0,0,0,25,75,75,10.5,3,1.55,4.33,5.5,1.14,1.77,2.3,3.82,1.8,1.95,Stade Louis-II (Monaco)
1727017200,Sep 22 2024 - 3:00pm,complete,N/A,Brest,Toulouse,Florent Batta,5,1.5,1,1.94,1.29,2,0,2,1,1,0,"21,90'1",,4,3,1,0,1,0,1,0,1,0,6,10,5,1,1,9,15,18,43,57,1.72,1.04,0.97,1.07,3.5,75,100,50,50,25,50,50,100,100,10,4,2.07,3.65,3.4,1.32,1.89,3.5,6.5,1.75,2,Stade Francis-Le Blé (Brest)
1727017200,Sep 22 2024 - 3:00pm,complete,N/A,Angers SCO,Nantes,Mathieu Vernice,5,0,2,1,0.88,1,1,2,2,1,1,24,18,3,6,1,0,4,0,1,0,1,3,4,5,1,3,3,2,13,16,50,50,1.35,1.02,0.64,0.89,2.5,50,50,50,50,25,50,75,25,50,9.5,6,3.2,3.2,2.33,1.4,2.25,4.2,8.5,1.95,1.8,Stade Raymond Kopa (Angers)
1727017200,Sep 22 2024 - 3:00pm,complete,N/A,Lorient,Auxerre,Hakim Ben El Hadj,5,0.5,0,0.76,0.88,3,2,5,1,0,1,"65,71,75","18,72",11,5,3,0,4,0,1,2,0,4,10,9,5,6,5,3,13,20,54,46,1.27,0.87,1.38,1.24,3,75,100,50,50,0,50,75,50,100,14,7,2.28,3.4,3.15,1.19,1.81,2.69,4.7,1.57,2.25,Stade de la Mosson-Mondial 98 (Lorient)
1727030700,Sep 22 2024 - 6:45pm,complete,N/A,Olympique Lyonnais,Olympique Marseille,Benoît Bastien,5,1.5,3,2.06,1.82,2,3,5,0,0,0,"53,90'3","69,82,90'5",10,3,4,0,2,1,1,3,2,1,18,7,9,5,9,2,17,8,63,37,1.3,1.02,2.43,0.88,4.75,75,100,75,75,50,75,75,100,100,6,4,3.05,3.8,2.16,1.17,1.64,2.3,4,1.5,2.5,Groupama Stadium (Décines-Charpieu)
1727456400,Sep 27 2024 - 5:00pm,complete,N/A,Auxerre,Brest,Jeremy Stinat,6,1.5,0,1.59,1,3,0,3,2,2,0,"26,37,59",,2,3,2,0,0,0,1,1,0,0,10,8,4,4,6,4,13,16,38,62,1.48,0.82,1.26,1.05,3,50,100,75,25,0,100,100,25,75,3.5,4.5,2.98,3.44,2.58,1.3,1.82,3.3,6.5,1.7,2.05,Stade de l'Abbé Deschamps (Auxerre)
1727463600,Sep 27 2024 - 7:00pm,complete,47000,PSG,Rennes,Hakim Ben El Hadj,6,3,0,2.59,0.76,3,1,4,1,1,0,"30,58,68",75,6,4,1,0,3,0,0,1,2,1,17,8,8,5,9,3,12,13,62,38,2.43,1.26,1.89,1.23,4.25,75,100,100,75,25,75,100,75,100,14.5,4,1.46,5.38,6.89,1.13,1.42,2.01,3.6,1.67,2.1,Parc des Princes (Paris)
1727535600,Sep 28 2024 - 3:00pm,complete,N/A,Lens,Nice,François Letexier,6,2,1,1.35,1.35,0,0,0,0,0,0,,,11,4,2,1,2,0,0,3,1,1,17,7,7,4,10,3,16,7,55,45,1.69,1.12,2.16,0.99,2.17,34,75,34,17,17,59,75,17,50,9.67,4.33,1.77,3.57,4.3,1.3,1.98,3.3,7,1.91,1.91,Stade Bollaert-Delelis (Lens)
1727542800,Sep 28 2024 - 5:00pm,complete,N/A,Le Havre,Lille,Bastien Dechepy,6,1.5,1.5,0.65,1.35,0,3,3,2,0,2,,"23,35,79",1,5,2,0,1,0,1,1,0,1,7,13,4,10,3,3,11,9,38,62,1.28,1.75,1,1.88,3,50,75,50,50,25,25,100,50,75,9.5,3.5,4.35,3.65,1.78,1.35,2,3.75,7.5,1.95,1.8,N/A
1727550000,Sep 28 2024 - 7:00pm,complete,N/A,Monaco,Lorient,Marc Bollengier,6,2.33,0,2.29,0.18,2,1,3,2,1,1,"32,90'8",16,6,2,4,0,2,1,0,4,2,1,17,7,7,4,10,3,17,17,65,35,1.22,0.9,1.96,0.93,3.42,34,84,67,42,25,67,84,59,84,9,4.5,1.32,5.4,8,1.08,1.52,2.1,3.18,1.7,2.05,Stade Louis-II (Monaco)
1727614800,Sep 29 2024 - 1:00pm,complete,N/A,Toulouse,Olympique Lyonnais,Gaël Angoula,6,1.33,0.5,1.18,1.29,1,2,3,2,1,1,14,"28,90'5",3,4,2,0,2,0,0,2,1,1,8,2,4,1,4,1,12,15,45,55,1.11,1.01,1.15,0.51,1.75,17,59,42,17,0,42,42,34,59,13.5,3.17,2.5,3.4,2.7,1.24,1.91,2.95,5.3,1.7,2.05,Stadium de Toulouse (Toulouse)
1727622000,Sep 29 2024 - 3:00pm,complete,N/A,Nantes,Paris,Abdelatif Kherradji,6,1.5,0,1.24,0.53,2,2,4,1,1,0,"10,49","57,67",8,4,2,1,2,0,0,3,0,2,10,5,4,3,6,2,11,12,61,39,1.37,0.77,1.44,0.75,3.42,25,84,59,34,17,59,100,34,84,7.17,4.83,2.05,3.4,3.6,1.31,1.95,3.41,5.55,1.8,1.95,Stade de la Beaujoire - Louis Fonteneau (Nantes)
