home,away,market,line,p_over,p_under,fair_odds_over,fair_odds_under,bookmaker_odds_over,bookmaker_odds_under,implied_p_over,implied_p_under,over_price_boost,margin,overround,mu_match,mu_league,mu_home,mu_away,alpha_base,alpha_used,low_sample_flag,home_matches_w,away_matches_w,promoted_home_flag,promoted_away_flag,promoted_pair_flag,p_home,p_draw,p_away,fair_odds_home,fair_odds_draw,fair_odds_away,bookmaker_odds_home,bookmaker_odds_draw,bookmaker_odds_away,mu_home_goals,mu_away_goals,mu_total_goals,calib_temp,calib_rows,gameweek,home_team,away_team
Wolverhampton Wanderers,Chelsea,1X2,,,,,,,,,,,0.08,-0.07407407407407429,,,,,,,,27.25911723072062,27.215440010399682,,,,0.4273254048877206,0.3023612054905941,0.2703133896216853,2.340137021019729,3.3073025965002913,3.6994097902421377,2.5273479827013077,3.571886804220315,3.995362573461509,0.8101242505016981,1.818204810334133,2.6283290608358314,2.9,1000.0,25,Wolverhampton Wanderers,Chelsea
Bournemouth,Aston Villa,corners_total,7.5,0.79663,0.20337000000000005,1.2552879002799293,4.917146088410285,1.1623036113703047,4.552913044824338,0.8603604,0.21963960000000007,0.0,0.08,0.08000000000000007,10.914891245909175,9.062189935034358,5.426479635536547,5.488411610372626,0.06350209107057349,0.08890292749880288,1.0,27.268939226001322,27.268939226001326,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Bournemouth,Aston Villa
Bournemouth,Aston Villa,corners_total,8.5,0.70906,0.29094,1.4103178856514258,3.43713480442703,1.3058498941216905,3.182532226321324,0.7657848,0.3142152,0.0,0.08,0.08000000000000007,10.914891245909175,9.062189935034358,5.426479635536547,5.488411610372626,0.06350209107057349,0.08890292749880288,1.0,27.268939226001322,27.268939226001326,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Bournemouth,Aston Villa
Bournemouth,Aston Villa,corners_total,9.5,0.611065,0.38893500000000003,1.6364871167551733,2.571123709617288,1.5152658488473827,2.3806701014974885,0.6599502,0.4200498000000001,0.0,0.08,0.08000000000000007,10.914891245909175,9.062189935034358,5.426479635536547,5.488411610372626,0.06350209107057349,0.08890292749880288,1.0,27.268939226001322,27.268939226001326,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Bournemouth,Aston Villa
Bournemouth,Aston Villa,corners_total,10.5,0.510145,0.48985500000000004,1.9602269942859385,2.0414204203284645,1.815024994709202,1.8902040928967263,0.5509566,0.5290434,0.0,0.08,0.08000000000000007,10.914891245909175,9.062189935034358,5.426479635536547,5.488411610372626,0.06350209107057349,0.08890292749880288,1.0,27.268939226001322,27.268939226001326,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Bournemouth,Aston Villa
Bournemouth,Aston Villa,corners_total,11.5,0.411385,0.588615,2.430812985402968,1.6989033578824868,2.2507527642620073,1.5730586647060063,0.4442958,0.6357042,0.0,0.08,0.08000000000000007,10.914891245909175,9.062189935034358,5.426479635536547,5.488411610372626,0.06350209107057349,0.08890292749880288,1.0,27.268939226001322,27.268939226001326,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Bournemouth,Aston Villa
Bournemouth,Aston Villa,corners_total,12.5,0.32241,0.67759,3.1016407679662543,1.4758187104296108,2.871889599968754,1.3664988059533434,0.3482028,0.7317972,0.0,0.08,0.08000000000000007,10.914891245909175,9.062189935034358,5.426479635536547,5.488411610372626,0.06350209107057349,0.08890292749880288,1.0,27.268939226001322,27.268939226001326,0.0,0.0,0.0,,,,,,,,,,,,,,,25,Bournemouth,Aston Villa
Bournemouth,Aston Villa,1X2,,,,,,,,,,,0.08,-0.07407407407407418,,,,,,,,27.268939226001322,27.268939226001326,,,,0.3602438021850344,0.2991503093686311,0.3406058884463345,2.7758978612111234,3.342801156082843,2.9359445444747765,2.9979696901080137,3.61022524856947,3.1708201080327587,1.4580636158374116,1.5995593423610628,3.0576229581984746,2.9,1000.0,25,Bournemouth,Aston Villa
Burnley,West Ham United,corners_total,7.5,0.663695,0.33630499999999997,1.5067161874053594,2.97349132483906,1.3951075809308882,2.753232708184315,0.7167906,0.36320939999999996,0.0,0.08,0.08000000000000007,9.254530959660094,9.062189935034358,4.576677916347338,4.677853043312758,0.06350209107057349,0.08890292749880288,1.0,19.12562875090297,27.14638155472126,1.0,0.0,0.0,,,,,,,,,,,,,,,25,Burnley,West Ham United
Burnley,West Ham United,corners_total,8.5,0.552115,0.447885,1.8112168660514565,2.2327159873628277,1.6770526537513486,2.067329617928544,0.5962842,0.48371580000000003,0.0,0.08,0.08000000000000007,9.254530959660094,9.062189935034358,4.576677916347338,4.677853043312758,0.06350209107057349,0.08890292749880288,1.0,19.12562875090297,27.14638155472126,1.0,0.0,0.0,,,,,,,,,,,,,,,25,Burnley,West Ham United
